,ewmac32,ewmac8
1997-09-14,,
1997-09-21,-0.0006429000551524524,-0.0009188845834684483
1997-09-28,0.005901856374387052,0.01820454554049257
1997-10-05,0.024707659938095632,0.055637844248983145
1997-10-12,-0.008796720679155098,-0.030858692580512236
1997-10-19,-0.13698306782724848,-0.25929056857219135
1997-10-26,0.00591180597387618,-0.020940039742058315
1997-11-02,-0.025315102280771103,0.02342124621412766
1997-11-09,-0.0034220378098728577,-0.029104001084942384
1997-11-16,-0.007380469985865599,-0.01498254171012307
1997-11-23,-0.040948092928061314,-0.04554924178025179
1997-11-30,0.012054776263200439,-0.01500425171650469
1997-12-07,-0.011142772460536222,0.05247615657816277
1997-12-14,-0.030981525494483627,-0.13542344374162404
1997-12-21,-0.017530191776048906,-0.01814357434320781
1997-12-28,-0.017242643329557893,-0.01255467145796255
1998-01-04,0.004005015532544962,-0.1182548254351139
1998-01-11,-0.05479018606565197,-0.08767850270923469
1998-01-18,0.004011421625626995,-0.057721386509180024
1998-01-25,0.000331399683007917,0.0036733110711382943
1998-02-01,0.0036585139961650246,0.0068933959136275366
1998-02-08,0.05480784303377305,0.13236780284430863
1998-02-15,0.003932522411074751,0.017902462214521925
1998-02-22,0.0951857790840477,0.13225349023026198
1998-03-01,0.24484009953305982,0.2797166369885272
1998-03-08,0.1334570358063735,0.0928716786729679
1998-03-15,0.25502157190937136,0.18224049614195154
1998-03-22,0.9484696630086833,0.6643637176000071
1998-03-29,-0.18699453676013886,-0.12865650105880272
1998-04-05,1.2879696964599807,0.7163285789748027
1998-04-12,-0.8477071645725912,-0.5029118197131086
1998-04-19,0.6300830376008716,0.25747769038794394
1998-04-26,-0.85382706614507,-0.3094907482961602
1998-05-03,0.29869949809189017,-0.13727195078266236
1998-05-10,-0.33861557503437234,-0.06213354226355985
1998-05-17,-0.07815774589845723,-0.015924919310576
1998-05-24,0.016395316761209377,-0.001149567339265616
1998-05-31,-0.14696286549326676,0.020832065167276585
1998-06-07,0.5120971079219518,-0.1561463375777779
1998-06-14,-0.1976655817170632,0.03653216292580158
1998-06-21,-0.0402680800284313,-0.015117043172580391
1998-06-28,0.27128526754485566,-0.02816534413972065
1998-07-05,0.1201203221042786,0.0628705212145788
1998-07-12,0.1786807714613849,0.11552830110761321
1998-07-19,0.3782110793349273,0.2588841917659634
1998-07-26,-1.034631790384241,-0.6502280701043123
1998-08-02,-0.41973797743966285,-0.03239946965946102
1998-08-09,-0.34867144573067355,0.02959207321055925
1998-08-16,-0.13335430277068316,0.25419719546085895
1998-08-23,0.060656166614509115,-0.287927301727457
1998-08-30,0.0005748535532958648,0.2627722143589062
1998-09-06,0.0743503766354952,0.2766739075375467
1998-09-13,0.025490041357584158,0.08369976149038179
1998-09-20,-0.020882069698199116,-0.05240002090931599
1998-09-27,-0.07519324699017316,-0.05544236793104176
